epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.1693,3.42083,3.28373,3.95116,0.0089,0.24872,0.01386,0.00425,3.5396,3.83339,4.34818,0.000661333,0.000661333,0.000661333
2,178.297,2.85123,3.11367,3.23445,0.01711,0.09058,0.00822,0.00296,2.88191,10.1446,3.56816,0.00131485,0.00131485,0.00131485
3,265.129,2.60067,2.95189,2.91129,0.04647,0.14875,0.01555,0.00484,2.75439,4.55064,3.04354,0.00195517,0.00195517,0.00195517
4,348.223,2.43294,2.81536,2.71253,0.07278,0.14401,0.0262,0.00795,2.60186,3.299,2.93221,0.0019406,0.0019406,0.0019406
5,432.381,2.33561,2.70379,2.5597,0.0965,0.1806,0.04882,0.01681,2.44307,3.67492,2.71529,0.0019208,0.0019208,0.0019208
6,517.839,2.23548,2.59659,2.45026,0.16762,0.17314,0.07616,0.0256,2.30282,2.74465,2.58867,0.001901,0.001901,0.001901
7,602.817,2.14178,2.49184,2.34702,0.25001,0.17863,0.1313,0.0529,2.21483,2.56198,2.41451,0.0018812,0.0018812,0.0018812
8,686.613,2.08355,2.43086,2.28715,0.21433,0.17434,0.11812,0.04649,2.19646,2.62125,2.48801,0.0018614,0.0018614,0.0018614
9,777.693,2.05408,2.36808,2.24694,0.30056,0.21293,0.16307,0.06704,2.12105,2.44316,2.31731,0.0018416,0.0018416,0.0018416
10,866.272,2.01749,2.32511,2.20824,0.23798,0.20466,0.14682,0.06295,2.0772,2.48482,2.30668,0.0018218,0.0018218,0.0018218
11,954.41,1.97435,2.2887,2.17159,0.32387,0.22248,0.18555,0.0809,2.03057,2.35843,2.21846,0.001802,0.001802,0.001802
12,1046.8,1.94966,2.26224,2.12851,0.29763,0.21181,0.17744,0.08008,2.02999,2.37181,2.24827,0.0017822,0.0017822,0.0017822
13,1135.62,1.94692,2.21376,2.10375,0.35251,0.26653,0.22692,0.10088,1.98348,2.19729,2.14595,0.0017624,0.0017624,0.0017624
14,1224.69,1.90353,2.19886,2.0709,0.30859,0.24021,0.18219,0.07614,2.01081,2.34237,2.16458,0.0017426,0.0017426,0.0017426
15,1312.35,1.89249,2.16444,2.06448,0.34499,0.2585,0.23302,0.11024,1.91491,2.17436,2.09933,0.0017228,0.0017228,0.0017228
16,1400.24,1.86935,2.15462,2.04136,0.3712,0.26548,0.24407,0.11034,1.93838,2.17935,2.09851,0.001703,0.001703,0.001703
17,1488.62,1.82838,2.09801,2.0132,0.39252,0.28562,0.2658,0.13067,1.8628,2.08499,2.04756,0.0016832,0.0016832,0.0016832
18,1576.64,1.82978,2.08205,2.00508,0.37921,0.29621,0.26283,0.12403,1.87063,2.13975,2.05192,0.0016634,0.0016634,0.0016634
19,1664.37,1.80818,2.06298,1.98394,0.40011,0.29958,0.27527,0.12923,1.86706,2.09175,2.00219,0.0016436,0.0016436,0.0016436
20,1756.75,1.79675,2.04886,1.96346,0.37844,0.26348,0.25308,0.12705,1.85157,2.06104,2.0248,0.0016238,0.0016238,0.0016238
21,1849.96,1.81302,2.04795,1.97189,0.40401,0.30103,0.28616,0.14292,1.84143,2.0345,1.98497,0.001604,0.001604,0.001604
22,1935.94,1.79702,2.02928,1.95037,0.41929,0.30761,0.30119,0.14824,1.82676,1.97681,1.99089,0.0015842,0.0015842,0.0015842
23,2023.07,1.7872,2.01143,1.92818,0.41584,0.30135,0.29583,0.15062,1.78802,1.9776,1.95366,0.0015644,0.0015644,0.0015644
24,2112.59,1.75349,1.97634,1.93484,0.43014,0.3198,0.30837,0.15308,1.76644,1.94024,1.92837,0.0015446,0.0015446,0.0015446
25,2198.71,1.76417,1.96663,1.88879,0.44989,0.33047,0.32605,0.16205,1.77921,1.91802,1.92509,0.0015248,0.0015248,0.0015248
26,2283.84,1.73883,1.94921,1.8947,0.37174,0.29628,0.26121,0.12812,1.8189,2.09128,2.00354,0.001505,0.001505,0.001505
27,2370.13,1.73141,1.94107,1.9014,0.4373,0.334,0.31966,0.15754,1.79147,1.91003,1.9338,0.0014852,0.0014852,0.0014852
28,2455.31,1.72264,1.92663,1.87926,0.43934,0.34636,0.33378,0.16901,1.75638,1.95032,1.89809,0.0014654,0.0014654,0.0014654
29,2539.32,1.72778,1.94119,1.88773,0.4544,0.34451,0.33559,0.17424,1.72429,1.86452,1.86273,0.0014456,0.0014456,0.0014456
30,2624.52,1.70438,1.90226,1.86445,0.46937,0.32718,0.33617,0.1741,1.73005,1.91079,1.88263,0.0014258,0.0014258,0.0014258
31,2710.45,1.71098,1.87497,1.86172,0.46553,0.35887,0.34474,0.17622,1.7078,1.93504,1.84204,0.001406,0.001406,0.001406
32,2796.26,1.73724,1.9079,1.85923,0.43079,0.32742,0.31567,0.15898,1.71696,1.93068,1.85255,0.0013862,0.0013862,0.0013862
33,2879.37,1.69493,1.88681,1.84925,0.4805,0.35213,0.35794,0.18666,1.69203,1.82485,1.82199,0.0013664,0.0013664,0.0013664
34,2966.92,1.69787,1.83552,1.83177,0.50344,0.3766,0.38873,0.20781,1.64892,1.70453,1.7977,0.0013466,0.0013466,0.0013466
35,3052.74,1.65853,1.82325,1.82475,0.47384,0.36136,0.3649,0.19243,1.67574,1.77795,1.82015,0.0013268,0.0013268,0.0013268
36,3137.98,1.66929,1.82396,1.83183,0.46544,0.37524,0.36935,0.19904,1.64478,1.73649,1.79919,0.001307,0.001307,0.001307
37,3223.59,1.64541,1.81566,1.8226,0.47328,0.3547,0.36191,0.19333,1.66988,1.75199,1.83185,0.0012872,0.0012872,0.0012872
38,3307.09,1.65989,1.82694,1.81903,0.48638,0.37806,0.38339,0.20777,1.64309,1.6941,1.78787,0.0012674,0.0012674,0.0012674
39,3392.33,1.64372,1.79587,1.81579,0.45177,0.36914,0.36238,0.19733,1.64105,1.73033,1.80125,0.0012476,0.0012476,0.0012476
40,3478.16,1.66301,1.78679,1.81205,0.50527,0.38551,0.39522,0.21396,1.62035,1.68949,1.77426,0.0012278,0.0012278,0.0012278
41,3562.08,1.60808,1.79404,1.80452,0.49812,0.38984,0.3956,0.21514,1.62573,1.66386,1.77911,0.001208,0.001208,0.001208
42,3647.88,1.63515,1.7711,1.79047,0.4957,0.38202,0.38915,0.20771,1.64344,1.74206,1.76818,0.0011882,0.0011882,0.0011882
43,3735.74,1.61552,1.76048,1.78626,0.52187,0.3835,0.40375,0.21926,1.61671,1.6515,1.76254,0.0011684,0.0011684,0.0011684
44,3823.71,1.60655,1.73635,1.77542,0.51145,0.4034,0.41413,0.22538,1.59879,1.64605,1.74348,0.0011486,0.0011486,0.0011486
45,3908.14,1.6101,1.74322,1.77563,0.52336,0.39704,0.41707,0.22834,1.60582,1.61225,1.74797,0.0011288,0.0011288,0.0011288
46,3994.2,1.61803,1.73168,1.76919,0.52217,0.39698,0.4134,0.22664,1.58776,1.65633,1.7319,0.001109,0.001109,0.001109
47,4077.81,1.58694,1.72126,1.76473,0.53575,0.40075,0.42238,0.22869,1.58916,1.59414,1.74219,0.0010892,0.0010892,0.0010892
48,4161.5,1.60979,1.73397,1.76619,0.51746,0.40324,0.41559,0.23058,1.56931,1.59114,1.73595,0.0010694,0.0010694,0.0010694
49,4247.98,1.57429,1.7072,1.7623,0.51749,0.41832,0.42419,0.23099,1.59144,1.63385,1.7157,0.0010496,0.0010496,0.0010496
50,4331.36,1.58684,1.69109,1.74834,0.54489,0.40453,0.433,0.2378,1.57634,1.58599,1.72956,0.0010298,0.0010298,0.0010298
51,4416.63,1.57737,1.71041,1.75333,0.53632,0.42539,0.44517,0.24913,1.55194,1.55087,1.69614,0.00101,0.00101,0.00101
52,4504.83,1.58611,1.68168,1.75314,0.53672,0.42073,0.44028,0.24371,1.53922,1.57088,1.69771,0.0009902,0.0009902,0.0009902
53,4590.81,1.56459,1.65951,1.73138,0.53022,0.42555,0.44446,0.24448,1.5577,1.56883,1.69628,0.0009704,0.0009704,0.0009704
